0,2778,0,3487
0,3487,0,2869
0,2869,0,9825
0,9825,0,4311
0,4311,0,0261
0,0261,0,8178
0,8178,0,9597
0,9597,0,8431
0,8431,0,7219
0,7219,0,2803
0,2803,0,5228
0,5228,0,413
0,413,0,7654
0,7654,0,3101
0,3101,0,5984
0,5984,0,6785
0,6785,0,2575
0,2575,0,9348
0,9348,0,1088
0,1088,0,5779
0,5779,0,2507
0,2507,0,4612
0,4612,0,1225
0,1225,0,5321
0,5321,0,0607
0,0607,0,2277
0,2277,0,8593
0,8593,0,8502
0,8502,0,2164
0,2164,0,0722
0,0722,0,0287
0,0287,0,9989
0,9989,0,5733
0,5733,0,9303
0,9303,0,7953
0,7953,0,3926
0,3926,0,3445
0,3445,0,9944
0,9944,0,2599
0,2599,0,102
0,102,0,1043
0,1043,0,2644
0,2644,0,4154
0,4154,0,9326
0,9326,0,9555
0,9555,0,5505
0,5505,0,3423
0,3423,0,8411
0,8411,0,5826
0,5826,0,578
0,578,0,2577
0,2577,0,9488
0,9488,0,0839
0,0839,0,8436
0,8436,0,7567
0,7567,0,7041
0,7041,0,0405
0,0405,0,8208
0,8208,0,1687
0,1687,0,7499
0,7499,0,2305
0,2305,0,0543
0,0543,0,7819
0,7819,0,4593
0,4593,0,9902
0,9902,0,9674
0,9674,0,3794
0,3794,0,4252
0,4252,0,6151
0,6151,0,8417
0,8417,0,6244
0,6244,0,4894
0,4894,0,0867
0,0867,0,0386
0,0386,0,6884
0,6884,0,947
0,947,0,9585
0,9585,0,7595
0,7595,0,8991
0,8991,0,6223
0,6223,0,3431
0,3431,0,8969
0,8969,0,469
0,469,0,6658
0,6658,0,3729
0,3729,0,9724
0,9724,0,7276
0,7276,0,6773
0,6773,0,1739
0,1739,0,1121
0,1121,0,8077
0,8077,0,2563
0,2563,0,8512
0,8512,0,286
0,286,0,9199
0,9199,0,071
0,071,0,9451
0,9451,0,8262
0,8262,0,5448
